159,302921,19,Char Bhadrasan,চর ভদ্রাসন ,499306,599422,0,214,0,1,
160,302947,19,Faridpur Sadar,ফরিদপুর সদর,481688,600791,0,213,0,1,
161,302956,19,Madhukhali,মধুখালি,460760,594225,0,211,0,1,
162,302962,19,Nagarkanda,নগরকান্দা,489578,582375,0,212,0,1,
163,302984,19,Sadarpur,সদরপুর,505626,589214,0,214,0,1,
164,302990,19,Saltha,সা্লথা,479894,580353,0,212,0,1,
165,303330,20,Gazipur Sadar,গাজীপুর সদর,540589,646083,0,80,0,1,
166,303332,20,Kaliakair,কালিয়াকৈর,527241,656065,0,194,0,1,
167,303334,20,Kaliganj,কালীগঞ্জ,556686,640842,0,198,0,1,
168,303336,20,Kapasia,কাপাসিয়া,560952,661419,0,197,0,1,
169,303386,20,Sreepur,শ্রীপুর,544991,667233,0,196,0,1,
170,303532,21,Gopalganj Sadar,গোপালগঞ্জ সদর,484837,541011,0,216,0,1,
171,303543,21,Kashiani,কাশিয়ানি,479474,555406,0,215,0,1,
172,303551,21,Kotalipara,কোটালিপাড়া,502387,535587,0,217,0,1,
173,303558,21,Muksudpur,মুকসুদপুর,491705,563684,0,215,0,1,
174,303591,21,Tungipara,টুঙ্গিপাড়া,490499,526050,0,217,0,1,
175,304802,22,Austagram,অষ্টগ্রাম,613628,680673,0,165,0,1,
176,304806,22,Bajitpur,বাজিতপুর,596371,670011,0,166,0,1,
177,304811,22,Bhairab,ভৈরব,600042,656196,0,167,0,1,
178,304827,22,Hossainpur,হোসেনপুর ,567116,694186,0,162,0,1,
179,304833,22,Itna,ইটনা,609461,707144,0,165,0,1,
180,304842,22,Karimganj,করিমগঞ্জ,590494,694879,0,164,0,1,
181,304845,22,Katiadi,কটিয়াদী,583493,677240,0,163,0,1,
182,304849,22,Kishoreganj Sadar,কিশোরগঞ্জ সদর,579443,691500,0,162,0,1,
183,304854,22,Kuliar Char,কুলিয়ারচর,590195,661765,0,167,0,1,
184,304859,22,Mithamain,মিঠামাইন,612185,692848,0,165,0,1,
185,304876,22,Nikli,নিকলী,597563,682434,0,166,0,1,
186,304879,22,Pakundia,পাকুন্ডা,570314,680178,0,163,0,1,
187,304892,22,Tarail,তাড়াইল,590193,705736,0,164,0,1,
188,305440,23,Kalkini,কালকিনী,525638,542457,0,220,0,1,
