upazila_ID;Upz_geocode;distr_ID;Upazilla;bn_name;DS_X;DS_Y;Number;Constituency ;Isdelete;UserID;,
64;201376;9;Matlab Dakshin;???? ??????;576142;572508;0;261;0;1;,
65;201379;9;Matlab Uttar;???? ?????;565458;579626;0;261;0;1;,
66;201395;9;Shahrasti;?????????;596674;557069;0;264;0;1;,
67;201504;10;Anowara;???????;693934;446888;0;290;0;1;,
68;201506;10;Bayejid Bostami;??????? ????????;686988;468987;0;cc;0;1;,
69;201508;10;Banshkhali;????????;699500;426786;0;293;0;1;,
70;201510;10;Bakalia;???????;690370;463834;0;cc;0;1;,
71;201512;10;Boalkhali;?????????;700728;468148;0;285;0;1;,
72;201518;10;Chandanaish;????????;712293;449576;0;291;0;1;,
73;201519;10;Chandgaon;?????????;691663;468930;0;cc;0;1;,
74;201520;10;Chattogram Port;????????? ?????;683305;457694;0;cc;0;1;,
75;201528;10;Double Mooring;????????;685724;461353;0;cc;0;1;,
76;201533;10;Fatikchhari;???????;679138;508441;0;279;0;1;,
77;201535;10;Halishahar;???????;682205;461106;0;cc;0;1;,
78;201537;10;Hathazari;?????????;684328;482107;0;282;0;1;,
79;201539;10;Karnafuli;????????;690299;458117;0;cc;0;1;,
80;201541;10;Kotwali;???????;688034;462791;0;cc;0;1;,
81;201543;10;Khulshi;?????;684350;465362;0;cc;0;1;,
82;201547;10;Lohagara;????????;717382;424215;0;292;0;1;,
83;201553;10;Mirsharai;???????;659495;511627;0;278;0;1;,
84;201555;10;Pahartali;????????;682259;463917;0;cc;0;1;,
85;201557;10;Panchlaish;????????;686886;466263;0;cc;0;1;,
86;201561;10;Patiya;?????;704416;458901;0;289;290;0;1,
87;201565;10;Patenga;???????;685512;453349;0;cc;0;1;,
88;201570;10;Rangunia;??????????;712421;476867;0;284;0;1;,
89;201574;10;Raozan;??????;696699;482658;0;283;0;1;,
90;201578;10;Sandwip;????????;650783;479314;0;280;0;1;,
91;201582;10;Satkania;?????????;711581;437700;0;291;0;1;,
92;201586;10;Sitakunda;?????????;675155;482457;0;281;0;1;,
93;201909;11;Barura;?????;606164;573898;0;256;0;1;,
94;201915;11;Brahman Para;????????????;612757;605560;0;253;0;1;,
95;201918;11;Burichang;??????;613183;593694;0;253;0;1;,
96;201927;11;Chandina;????????;596612;583862;0;255;0;1;,
97;201931;11;Chauddagram;??????????;630802;559459;0;259;0;1;,
98;201933;11;Cumilla Sadar Dakshin;???????? ??? ??????;618832;567412;0;;0;1;,
99;201936;11;Daudkandi;??????????;577230;591768;0;249;0;1;,
100;201940;11;Debidwar;?????????;601828;598689;0;252;0;1;,
101;201954;11;Homna;?????;582880;609593;0;250;0;1;,
102;201967;11;Comilla Adarsha Sadar ;???????? ???;620834;582366;0;;0;1;,
103;201972;11;Laksam;??????;612646;560494;0;257;0;1;,
104;201974;11;Manoharganj;???????;609058;549818;0;;0;1;,
105;201975;11;Meghna;?????;570836;605993;0;249;0;1;,
106;201981;11;Muradnagar;????????;596029;609392;0;251;0;1;,
107;201987;11;Nangalkot;?????????;623588;550297;0;258;0;1;,
108;201994;11;Titas;?????;580934;599327;0;;0;1;,
109;202216;12;Chakaria;??????;711460;397136;0;294;0;1;,
110;202224;12;Cox'S Bazar Sadar;????????? ???;710311;370710;0;296;0;1;,
111;202245;12;Kutubdia;?????????;692672;407348;0;295;0;1;,
112;202249;12;Maheshkhali;????????;697978;381699;0;295;0;1;,
113;202256;12;Pekua;??????;700297;404725;0;294;0;1;,
114;202266;12;Ramu;????;719448;363731;0;296;0;1;,
115;202290;12;Teknaf;??????;732037;312902;0;297;0;1;,
116;202294;12;Ukhia;?????;719234;340659;0;297;0;1;,
117;203014;13;Chhagalnaiya;?????????;653995;537092;0;265;0;1;,
118;203025;13;Daganbhuiyan;???????????;632974;531736;0;267;0;1;,
119;203029;13;Feni Sadar;???? ???;644701;533780;0;266;0;1;,
120;203041;13;Fulgazi;???????;647633;548903;0;265;0;1;,
121;203051;13;Parshuram;???????;645565;558539;0;265;0;1;,
122;203094;13;Sonagazi;????????;643403;518685;0;267;0;1;,
123;204643;14;Dighinala;????????;709845;581434;0;298;0;1;,
124;204649;14;Khagrachhari Sadar;????????;704030;553363;0;298;0;1;,
125;204661;14;Lakshmichhari;??????????;697725;512674;0;298;0;1;,
126;204665;14;Mahalchhari;??????;709737;534747;0;298;0;1;,
127;204667;14;Manikchhari;????????;687003;519214;0;298;0;1;,
128;204670;14;Matiranga;??????????;691850;547041;0;298;0;1;,
129;204677;14;Panchhari;??????;692681;571079;0;298;0;1;,
130;204680;14;Ramgarh;?????;690508;530898;0;298;0;1;,
131;205133;15;Kamalnagar;??????;587150;507779;0;277;0;1;,
132;205143;15;Lakshmipur Sadar;?????????? ???;587090;525010;0;;0;1;,
133;205158;15;Roypur;??????;574587;534493;0;275;0;1;,
